いひやつ,2165,2754,14923,動詞,一般,*,*,文語四段-ラ行,連用形-促音便,イイヤル,言い遣る,言ひやつ,イーヤッ,イヒヤッ,和,言ひやる,イーヤル,イヒヤル,イイヤル,*,*,*,*,*,*,3,C1,*
ついて,7675,8961,6362,名詞,普通名詞,一般,*,*,*,ツイデ,序で,ついで,ツイデ,ツイデ,和,ついで,ツイデ,ツイデ,ツイデ,*,*,*,*,*,*,0,C2,*
おもしろかれ,7730,9447,10107,形容詞,一般,*,*,文語形容詞-ク,命令形,オモシロイ,面白い,おもしろかれ,オモシロカレ,オモシロカレ,和,おもしろし,オモシロシ,オモシロシ,オモシロシ,*,*,*,*,*,*,4,C1,*
おもしろかれ,7734,9483,9588,形容詞,一般,*,*,文語形容詞-ク,已然形-補助,オモシロイ,面白い,おもしろかれ,オモシロカレ,オモシロカレ,和,おもしろし,オモシロシ,オモシロシ,オモシロシ,*,*,*,*,*,*,4,C1,*
おもしろし,7743,9556,9453,形容詞,一般,*,*,文語形容詞-ク,終止形-一般,オモシロイ,面白い,おもしろし,オモシロシ,オモシロシ,和,おもしろし,オモシロシ,オモシロシ,オモシロシ,*,*,*,*,*,*,4,C1,*
おもしろく,7738,9519,11793,形容詞,一般,*,*,文語形容詞-ク,未然形-一般,オモシロイ,面白い,おもしろく,オモシロク,オモシロク,和,おもしろし,オモシロシ,オモシロシ,オモシロシ,*,*,*,*,*,*,4,C1,*
おもしろく,7758,9683,6423,形容詞,一般,*,*,文語形容詞-ク,連用形-一般,オモシロイ,面白い,おもしろく,オモシロク,オモシロク,和,おもしろし,オモシロシ,オモシロシ,オモシロシ,*,*,*,*,*,*,4,C1,*
おもしろから,7740,9537,8975,形容詞,一般,*,*,文語形容詞-ク,未然形-補助,オモシロイ,面白い,おもしろから,オモシロカラ,オモシロカラ,和,おもしろし,オモシロシ,オモシロシ,オモシロシ,*,*,*,*,*,*,4,C1,*
おもしろけれ,7732,9465,7550,形容詞,一般,*,*,文語形容詞-ク,已然形-一般,オモシロイ,面白い,おもしろけれ,オモシロケレ,オモシロケレ,和,おもしろし,オモシロシ,オモシロシ,オモシロシ,*,*,*,*,*,*,4,C1,*
おもしろき,7750,9611,7157,形容詞,一般,*,*,文語形容詞-ク,連体形-一般,オモシロイ,面白い,おもしろき,オモシロキ,オモシロキ,和,おもしろし,オモシロシ,オモシロシ,オモシロシ,*,*,*,*,*,*,4,C1,*
おもしろかる,7754,9647,9060,形容詞,一般,*,*,文語形容詞-ク,連体形-補助,オモシロイ,面白い,おもしろかる,オモシロカル,オモシロカル,和,おもしろし,オモシロシ,オモシロシ,オモシロシ,*,*,*,*,*,*,4,C1,*
おもしろかり,7760,9701,7755,形容詞,一般,*,*,文語形容詞-ク,連用形-補助,オモシロイ,面白い,おもしろかり,オモシロカリ,オモシロカリ,和,おもしろし,オモシロシ,オモシロシ,オモシロシ,*,*,*,*,*,*,4,C1,*
こと,7675,8975,5288,名詞,普通名詞,一般,*,*,*,コト,事,こと,コト,コト,和,こと,コト,コト,コト,コ濁,基本形,*,*,*,B1WS2WB3WB6SjShS,2,C3,*
おもへ,2091,2602,12162,動詞,一般,*,*,文語四段-ハ行,命令形,オモウ,思う,おもへ,オモエ,オモヘ,和,おもふ,オモウ,オモフ,オモウ,*,*,*,*,*,*,2,C1,*
おもへ,2094,2605,12920,動詞,一般,*,*,文語四段-ハ行,已然形-一般,オモウ,思う,おもへ,オモエ,オモヘ,和,おもふ,オモウ,オモフ,オモウ,*,*,*,*,*,*,2,C1,*
おもは,2101,2612,10698,動詞,一般,*,*,文語四段-ハ行,未然形-一般,オモウ,思う,おもは,オモワ,オモハ,和,おもふ,オモウ,オモフ,オモウ,*,*,*,*,*,*,2,C1,*
おもふ,2106,2617,10783,動詞,一般,*,*,文語四段-ハ行,終止形-一般,オモウ,思う,おもふ,オモウ,オモフ,和,おもふ,オモウ,オモフ,オモウ,*,*,*,*,*,*,2,C1,*
おもふ,2111,2622,9281,動詞,一般,*,*,文語四段-ハ行,連体形-一般,オモウ,思う,おもふ,オモウ,オモフ,和,おもふ,オモウ,オモフ,オモウ,*,*,*,*,*,*,2,C1,*
おもひ,2118,2629,9342,動詞,一般,*,*,文語四段-ハ行,連用形-一般,オモウ,思う,おもひ,オモイ,オモヒ,和,おもふ,オモウ,オモフ,オモウ,*,*,*,*,*,*,2,C1,*
おもう,1728,2133,15960,動詞,一般,*,*,五段-ワア行,連用形-ウ音便,オモウ,思う,おもう,オモー,オモウ,和,おもう,オモウ,オモウ,オモウ,*,*,*,*,*,*,2,C1,*
おもつ,2121,2632,13914,動詞,一般,*,*,文語四段-ハ行,連用形-促音便,オモウ,思う,おもつ,オモッ,オモッ,和,おもふ,オモウ,オモフ,オモウ,*,*,*,*,*,*,2,C1,*
みちのく,7103,8494,10333,名詞,固有名詞,地名,一般,*,*,ミチノク,ミチノク,みちのく,ミチノク,ミチノク,固,みちのく,ミチノク,ミチノク,ミチノク,*,*,*,*,*,*,0,*,*
もちすり,7675,8961,10940,名詞,普通名詞,一般,*,*,*,モジズリ,捩摺,もぢずり,モジズリ,モヂズリ,和,もぢずり,モジズリ,モヂズリ,モジズリ,*,*,*,*,*,*,"2,0",C1,*
たれ,1,1,8540,代名詞,*,*,*,*,*,ダレ,誰,だれ,ダレ,ダレ,和,だれ,ダレ,ダレ,ダレ,*,*,*,*,*,*,1,*,*
ゆゑ,7687,9115,7988,名詞,普通名詞,副詞可能,*,*,*,ユエ,故,ゆゑ,ユエ,ユヱ,和,ゆゑ,ユエ,ユヱ,ユエ,*,*,*,*,*,*,2,C3,*
ゆえ,7687,9115,8858,名詞,普通名詞,副詞可能,*,*,*,ユエ,故,ゆえ,ユエ,ユエ,和,ゆえ,ユエ,ユエ,ユエ,*,*,*,*,*,*,2,C3,*
ゆへ,7687,9115,8859,名詞,普通名詞,副詞可能,*,*,*,ユエ,故,ゆへ,ユエ,ユヘ,和,ゆへ,ユエ,ユヘ,ユエ,*,*,*,*,*,*,2,C3,*
そめ,2133,2644,12746,動詞,一般,*,*,文語四段-マ行,命令形,ソム,染む,そめ,ソメ,ソメ,和,そむ,ソム,ソム,ソム,*,*,*,*,*,*,0,C4,*
そめ,2135,2650,11171,動詞,一般,*,*,文語四段-マ行,已然形-一般,ソム,染む,そめ,ソメ,ソメ,和,そむ,ソム,ソム,ソム,*,*,*,*,*,*,0,C4,*
そま,2139,2662,11122,動詞,一般,*,*,文語四段-マ行,未然形-一般,ソム,染む,そま,ソマ,ソマ,和,そむ,ソム,ソム,ソム,*,*,*,*,*,*,0,C4,*
そむ,2141,2668,9161,動詞,一般,*,*,文語四段-マ行,終止形-一般,ソム,染む,そむ,ソム,ソム,和,そむ,ソム,ソム,ソム,*,*,*,*,*,*,0,C4,*
そむ,2143,2674,9902,動詞,一般,*,*,文語四段-マ行,連体形-一般,ソム,染む,そむ,ソム,ソム,和,そむ,ソム,ソム,ソム,*,*,*,*,*,*,0,C4,*
そみ,2147,2686,9389,動詞,一般,*,*,文語四段-マ行,連用形-一般,ソム,染む,そみ,ソミ,ソミ,和,そむ,ソム,ソム,ソム,*,*,*,*,*,*,0,C4,*
そん,2149,2692,10582,動詞,一般,*,*,文語四段-マ行,連用形-撥音便,ソム,染む,そん,ソン,ソン,和,そむ,ソム,ソム,ソム,*,*,*,*,*,*,0,C4,*
われ,1,1,4635,代名詞,*,*,*,*,*,ワレ,我,われ,ワレ,ワレ,和,われ,ワレ,ワレ,ワレ,*,*,*,*,*,*,1,*,*
ならなくに,709,1071,15694,助動詞,*,*,*,文語助動詞-ナリ-断定,未然形-一般,ナリ,なり-断定,なら,ナラ,ナラ,和,なり,ナリ,ナリ,ナリ,*,*,*,*,*,*,*,"名詞%F2@1,形容詞%F2@-1動詞%F2@0",*
せ,559,561,10612,助動詞,*,*,*,文語下二段-サ行,未然形-一般,セル,せる,せ,セ,セ,和,す,ス,ス,ス,*,*,*,*,*,*,*,*,*
せ,565,567,9523,助動詞,*,*,*,文語下二段-サ行,連用形-一般,セル,せる,せ,セ,セ,和,す,ス,ス,ス,*,*,*,*,*,*,*,*,*
す,561,563,11145,助動詞,*,*,*,文語下二段-サ行,終止形-一般,セル,せる,す,ス,ス,和,す,ス,ス,ス,*,*,*,*,*,*,*,*,*
する,563,565,9819,助動詞,*,*,*,文語下二段-サ行,連体形-一般,セル,せる,する,スル,スル,和,す,ス,ス,ス,*,*,*,*,*,*,*,*,*
すれ,557,559,9460,助動詞,*,*,*,文語下二段-サ行,已然形-一般,セル,せる,すれ,スレ,スレ,和,す,ス,ス,ス,*,*,*,*,*,*,*,*,*
せよ,555,557,9803,助動詞,*,*,*,文語下二段-サ行,命令形,セル,せる,せよ,セヨ,セヨ,和,す,ス,ス,ス,*,*,*,*,*,*,*,*,M2@1
させ,558,560,9602,助動詞,*,*,*,文語下二段-サ行,未然形-一般,サセル,させる,させ,サセ,サセ,和,さす,サス,サス,サス,*,*,*,*,*,*,*,*,*
させ,564,566,9219,助動詞,*,*,*,文語下二段-サ行,連用形-一般,サセル,させる,させ,サセ,サセ,和,さす,サス,サス,サス,*,*,*,*,*,*,*,*,*
さす,560,562,9796,助動詞,*,*,*,文語下二段-サ行,終止形-一般,サセル,させる,さす,サス,サス,和,さす,サス,サス,サス,*,*,*,*,*,*,*,*,*
さする,562,564,9123,助動詞,*,*,*,文語下二段-サ行,連体形-一般,サセル,させる,さする,サスル,サスル,和,さす,サス,サス,サス,*,*,*,*,*,*,*,*,*
さすれ,556,558,9444,助動詞,*,*,*,文語下二段-サ行,已然形-一般,サセル,させる,さすれ,サスレ,サスレ,和,さす,サス,サス,サス,*,*,*,*,*,*,*,*,*
させよ,554,556,8982,助動詞,*,*,*,文語下二段-サ行,命令形,サセル,させる,させよ,サセヨ,サセヨ,和,さす,サス,サス,サス,*,*,*,*,*,*,*,*,M2@1
しめ,568,570,10511,助動詞,*,*,*,文語下二段-マ行,未然形-一般,シメル,しめる,しめ,シメ,シメ,和,しむ,シム,シム,シム,*,*,*,*,*,*,*,*,*
しめ,571,573,7174,助動詞,*,*,*,文語下二段-マ行,連用形-一般,シメル,しめる,しめ,シメ,シメ,和,しむ,シム,シム,シム,*,*,*,*,*,*,*,*,*
しむ,569,571,9351,助動詞,*,*,*,文語下二段-マ行,終止形-一般,シメル,しめる,しむ,シム,シム,和,しむ,シム,シム,シム,*,*,*,*,*,*,*,*,*
しむる,570,572,8643,助動詞,*,*,*,文語下二段-マ行,連体形-一般,シメル,しめる,しむる,シムル,シムル,和,しむ,シム,シム,シム,*,*,*,*,*,*,*,*,*
しむれ,567,569,9241,助動詞,*,*,*,文語下二段-マ行,已然形-一般,シメル,しめる,しむれ,シムレ,シムレ,和,しむ,シム,シム,シム,*,*,*,*,*,*,*,*,*
しめよ,566,568,9759,助動詞,*,*,*,文語下二段-マ行,命令形,シメル,しめる,しめよ,シメヨ,シメヨ,和,しむ,シム,シム,シム,*,*,*,*,*,*,*,*,M2@1
れ,585,587,13429,助動詞,*,*,*,文語下二段-ラ行,未然形-一般,レル,れる,れ,レ,レ,和,る,ル,ル,ル,*,*,*,*,*,*,*,動詞%F3@0,*
